BELGRADE_cloud_cover,BELGRADE_global_radiation,BELGRADE_humidity,BELGRADE_precipitation,BELGRADE_pressure,BELGRADE_sunshine,BELGRADE_temp_max,BELGRADE_temp_mean,BELGRADE_temp_min
7,1.44,0.65,1.19,1.0071,2.0,26.0,21.0,16.1
5,1.71,0.76,0.0,1.0131,3.2,22.4,17.9,13.9
1,3.21,0.58,0.0,1.0175,12.8,27.4,21.3,13.5
1,3.25,0.51,0.0,1.0141,13.1,29.7,24.6,15.6
7,1.84,0.66,0.0,1.0164,3.9,24.1,19.1,16.9
5,1.22,0.76,0.0,1.0168,1.2,22.4,17.6,13.9
1,3.12,0.63,0.0,1.0157,12.2,28.0,21.9,13.0
4,2.87,0.58,0.3,1.0148,10.4,30.9,24.2,18.4
6,1.67,0.73,0.02,1.0171,3.1,28.2,22.4,19.2
1,3.28,0.55,0.0,1.0189,13.6,30.5,23.7,15.4
0,3.27,0.55,0.0,1.0186,13.6,32.3,25.6,18.1
1,3.19,0.47,0.0,1.0153,13.0,34.8,28.9,21.5
5,2.61,0.59,0.47,1.0118,8.8,33.6,25.6,21.6
3,2.79,0.71,0.0,1.0161,10.1,26.4,21.2,16.2
5,2.93,0.66,0.08,1.0095,11.2,31.0,21.8,16.0
7,1.16,0.78,0.7,1.0134,1.1,18.5,14.5,12.6
8,0.69,0.93,2.53,1.0122,0.0,14.2,12.0,11.0
7,1.67,0.86,1.24,1.0103,3.3,19.5,15.2,11.6
5,2.11,0.7,0.0,1.0109,5.8,25.1,19.4,15.0
7,1.15,0.8,0.36,1.0138,1.1,21.4,17.7,15.4
6,2.07,0.81,0.0,1.0188,5.6,21.5,16.9,12.9
1,2.9,0.71,0.0,1.0203,11.3,25.8,19.6,12.6
1,2.91,0.68,0.0,1.0168,11.5,28.3,21.9,14.4
1,3.03,0.66,0.0,1.0124,12.5,29.5,23.3,15.6
2,2.63,0.71,0.0,1.013,9.5,28.0,23.3,17.0
6,2.47,0.63,0.0,1.0135,8.4,26.3,22.5,18.5
3,2.57,0.7,0.0,1.0165,9.2,25.5,20.3,17.2
2,2.98,0.55,0.0,1.0145,12.4,30.0,24.7,14.3
3,2.34,0.63,0.55,1.0098,7.7,31.6,23.7,20.4
1,2.77,0.66,0.0,1.0145,10.9,26.0,20.3,16.5
4,2.79,0.55,0.93,1.0111,11.1,27.7,22.5,13.8
7,1.63,0.78,0.86,1.0092,3.5,22.7,19.6,16.4
2,2.78,0.73,0.0,1.0159,11.2,25.4,19.4,15.0
1,2.68,0.62,0.0,1.0149,10.5,27.7,21.7,14.7
2,2.78,0.51,0.0,1.0065,11.4,30.6,25.3,18.0
3,2.45,0.63,0.46,1.0064,8.9,28.3,22.4,18.8
5,2.63,0.65,0.21,1.0124,10.4,25.6,19.5,13.0
2,2.77,0.59,0.0,1.0154,11.6,27.3,21.5,14.6
5,2.28,0.69,0.0,1.017,7.9,24.4,18.7,16.3
0,2.81,0.52,0.0,1.0146,12.1,26.7,20.9,13.0
1,2.73,0.48,0.0,1.009,11.5,32.3,25.8,17.5
5,2.31,0.57,1.96,1.0042,8.4,35.0,23.0,17.8
1,2.69,0.55,0.0,1.0176,11.4,23.6,18.6,14.0
6,2.11,0.66,0.0,1.0181,7.1,23.0,17.7,11.0
1,2.67,0.66,0.0,1.0213,11.5,24.0,18.1,13.5
2,2.68,0.59,0.0,1.0192,11.7,28.1,21.3,13.7
2,2.63,0.65,0.0,1.0166,11.4,31.7,24.1,16.6
0,2.63,0.69,0.0,1.0153,11.5,31.5,24.4,17.5
0,2.63,0.63,0.0,1.0157,11.6,32.5,25.0,18.5
0,2.62,0.64,0.0,1.0184,11.6,33.2,25.6,19.0
0,2.54,0.61,0.0,1.0196,11.1,32.0,25.4,19.0
2,2.28,0.6,0.0,1.016,9.1,31.3,24.2,20.0
3,2.36,0.54,0.0,1.0112,9.8,27.1,21.5,16.3
7,1.04,0.83,0.89,1.0109,1.4,20.2,15.7,13.5
1,2.58,0.71,0.0,1.0167,11.1,23.6,17.0,11.5
3,2.47,0.64,0.0,1.016,10.3,27.0,20.4,14.1
1,2.5,0.61,0.0,1.0192,10.7,25.0,18.1,14.4
1,2.51,0.56,0.0,1.0115,10.9,30.3,23.2,15.2
2,2.52,0.5,0.0,1.0089,11.2,31.6,24.7,16.8
7,1.25,0.61,0.61,1.0093,2.1,28.6,21.7,18.0
4,1.81,0.74,0.02,1.0176,5.6,19.3,13.4,11.4
5,2.14,0.63,0.0,1.0197,8.3,21.2,15.3,8.6
5,1.05,0.71,0.0,1.024,1.3,17.5,12.5,10.9
1,2.24,0.7,0.0,1.0265,9.4,21.4,14.1,6.1
5,1.67,0.69,0.0,1.024,5.0,19.4,15.0,11.0
2,2.16,0.64,0.0,1.0217,9.0,23.5,17.1,11.8
0,2.3,0.64,0.0,1.0221,10.4,22.0,14.8,10.1
0,2.28,0.54,0.0,1.0207,10.4,22.0,15.3,10.6
3,1.88,0.48,0.0,1.017,7.0,23.7,17.8,11.7
0,2.22,0.52,0.0,1.0154,10.1,26.2,19.1,13.4
2,1.99,0.51,0.0,1.0167,8.2,27.6,20.7,16.0
3,2.06,0.5,0.0,1.0217,9.0,26.9,20.8,16.7
1,2.15,0.48,0.0,1.0199,10.0,26.9,20.1,16.1
4,1.61,0.56,0.2,1.0144,5.4,23.4,18.2,15.0
3,2.12,0.56,0.61,1.0129,10.0,27.3,20.1,13.2
8,0.52,0.83,1.15,1.0144,0.0,19.5,15.0,13.0
8,0.64,0.72,0.0,1.0231,0.2,16.7,12.9,11.6
5,1.5,0.66,0.0,1.0269,5.0,18.0,12.2,8.2
0,2.04,0.68,0.0,1.0236,10.0,18.9,11.3,5.7
0,2.06,0.63,0.0,1.0169,10.3,20.1,12.2,5.0
4,1.55,0.7,0.0,1.0139,5.7,18.6,13.5,5.2
6,0.48,0.88,0.6,1.0085,0.0,14.5,12.5,11.7
6,1.02,0.74,0.07,1.0116,2.1,17.7,13.5,9.2
4,1.53,0.77,0.0,1.0151,5.9,17.5,12.9,10.9
7,0.93,0.75,0.23,1.0154,1.7,24.0,18.1,9.9
5,1.55,0.78,0.0,1.0236,6.4,20.0,14.7,11.0
2,1.9,0.63,0.0,1.022,10.0,21.6,15.8,10.9
0,1.89,0.75,0.0,1.0191,10.1,19.1,13.7,9.7
5,1.65,0.67,0.0,1.0165,7.8,22.7,15.6,12.8
4,1.5,0.69,0.02,1.0119,6.5,25.0,17.8,13.9
5,1.45,0.71,0.45,1.0051,6.1,24.5,17.8,15.4
5,1.33,0.64,0.0,1.0086,5.2,21.6,16.5,13.5
1,1.78,0.58,0.0,1.0118,9.9,24.1,17.1,10.2
7,1.01,0.6,0.69,1.0064,2.8,24.1,18.5,14.5
5,1.22,0.77,0.43,1.0031,4.6,22.4,15.4,12.0
5,0.48,0.89,0.1,1.0083,0.1,13.0,10.8,9.3
8,0.74,0.89,0.6,1.0099,1.2,14.3,9.7,8.0
1,1.65,0.66,0.0,1.0209,9.4,16.8,11.1,4.6
5,0.85,0.64,0.15,1.0137,2.0,18.6,14.0,9.0
8,0.91,0.78,0.16,1.0095,2.5,22.0,15.1,12.1
7,1.06,0.89,0.52,1.0126,3.8,15.8,11.2,9.3
4,1.19,0.83,0.0,1.0189,5.1,13.6,8.5,6.2
0,1.56,0.64,0.0,1.0179,9.4,15.2,9.4,2.5
5,1.31,0.58,0.0,1.0138,6.6,18.7,13.6,4.1
7,0.52,0.71,0.25,1.0095,0.4,18.7,14.7,11.6
2,1.51,0.58,0.0,1.0157,9.3,21.5,14.4,9.5
3,1.35,0.6,0.0,1.0166,7.6,25.5,17.4,9.3
6,0.78,0.56,0.0,1.0154,2.1,27.1,21.0,16.2
4,1.01,0.63,0.0,1.0139,4.2,27.9,19.5,17.3
7,0.34,0.49,0.0,1.0078,0.0,26.0,20.8,16.6
5,1.36,0.73,0.0,1.0127,8.4,22.8,16.2,13.1
4,1.25,0.57,0.0,1.0174,7.3,23.0,17.7,11.8
7,1.01,0.53,0.0,1.0111,4.6,25.4,20.9,17.2
7,0.52,0.65,0.11,1.0075,0.7,21.7,15.9,11.8
6,1.12,0.63,0.0,1.0132,6.1,18.9,13.8,10.7
7,0.88,0.72,0.0,1.0153,3.6,17.9,13.4,10.6
7,0.45,0.62,0.0,1.0143,0.4,18.3,15.4,11.3
7,1.09,0.79,0.03,1.019,6.2,20.8,15.3,11.9
4,1.18,0.69,0.0,1.0181,7.5,22.8,17.3,12.2
7,0.41,0.47,0.03,1.0075,0.3,22.6,19.3,15.6
8,0.3,0.88,1.71,1.0111,0.0,21.0,12.1,11.5
8,0.29,0.95,0.62,1.0105,0.0,12.0,9.1,8.0
6,1.02,0.83,0.01,1.0136,6.0,11.8,8.3,4.6
3,0.66,0.9,0.01,1.0194,2.2,11.1,7.6,4.8
8,0.28,0.86,0.35,1.0085,0.0,13.4,9.5,6.0
5,0.33,0.89,0.0,1.014,0.1,11.0,8.2,6.4
3,0.6,0.88,0.0,1.0169,1.8,13.0,10.0,5.2
7,0.72,0.71,0.02,1.0152,3.1,21.4,15.1,9.6
8,0.32,0.82,0.18,1.0129,0.1,15.8,12.5,10.4
8,0.27,0.87,0.09,1.0177,0.0,10.5,7.2,6.3
7,0.86,0.75,0.0,1.0143,5.0,13.0,9.7,6.4
6,0.52,0.84,0.0,1.0173,1.4,10.1,6.2,4.3
8,0.26,0.81,0.0,1.0177,0.0,9.4,7.6,3.1
6,0.55,0.81,1.21,1.0144,1.7,12.8,8.3,3.5
5,0.4,0.84,0.51,1.0142,0.6,10.1,6.6,5.2
1,1.02,0.59,0.0,1.0239,7.9,14.3,8.6,2.8
3,0.64,0.61,0.0,1.0175,2.8,12.6,8.1,5.8
6,0.44,0.75,0.13,1.0123,1.0,8.8,6.0,4.3
8,0.24,0.92,1.41,1.0139,0.0,8.3,6.9,6.0
8,0.24,0.97,0.31,1.0168,0.0,8.0,7.2,5.6
5,0.76,0.88,0.0,1.0186,4.6,11.2,8.0,6.2
7,0.79,0.8,0.0,1.0159,5.0,13.0,9.0,2.0
7,0.32,0.72,0.0,1.0128,0.3,15.3,11.9,10.0
8,0.27,0.8,0.65,1.0142,0.1,15.1,8.2,4.3
1,0.93,0.71,0.0,1.0316,7.5,9.0,5.1,2.0
0,0.98,0.63,0.0,1.0302,8.4,13.0,6.8,2.5
2,0.94,0.72,0.0,1.024,7.7,13.0,5.5,1.6
2,0.87,0.79,0.0,1.0245,6.5,12.0,6.1,0.8
6,0.57,0.71,0.0,1.0192,2.1,13.2,9.1,2.1
2,0.92,0.54,0.0,1.0155,7.7,18.1,12.0,7.1
6,0.47,0.57,0.0,1.0119,1.2,15.3,11.9,8.0
7,0.36,0.59,0.0,1.0075,0.4,13.5,12.0,9.1
5,0.5,0.74,0.2,1.0057,1.5,13.7,11.1,8.9
8,0.55,0.64,0.0,1.008,2.1,18.2,14.7,10.2
5,0.51,0.72,0.01,1.005,1.6,15.2,12.7,10.3
8,0.24,0.92,3.29,1.004,0.0,11.8,8.9,7.3
8,0.24,0.89,0.6,1.0126,0.0,7.5,3.9,3.0
8,0.24,0.97,1.16,1.0053,0.0,3.3,2.1,1.5
5,0.74,0.85,0.0,1.0085,4.9,7.4,3.7,1.0
4,0.67,0.77,0.0,1.0198,3.8,12.4,8.0,2.0
3,0.62,0.84,0.02,1.0268,3.1,12.0,7.4,5.3
8,0.24,0.99,0.01,1.026,0.0,6.0,4.0,3.4
5,0.35,0.84,0.52,1.013,0.4,6.7,6.1,3.0
4,0.66,0.8,0.01,1.008,3.7,12.8,9.2,5.0
1,0.9,0.59,0.0,1.0082,7.9,15.3,10.2,5.6
7,0.24,0.66,0.08,1.0067,0.0,12.1,11.1,7.6
8,0.24,0.9,0.84,1.0079,0.0,12.0,9.2,8.0
8,0.24,0.95,0.5,1.0104,0.0,8.8,3.4,1.9
