MADRID_cloud_cover,MADRID_global_radiation,MADRID_humidity,MADRID_precipitation,MADRID_pressure,MADRID_sunshine,MADRID_temp_max,MADRID_temp_mean,MADRID_temp_min
5,2.66,0.62,0.24,1.0159,8.4,25.1,19.8,14.5
6,3.19,0.55,0.0,1.014,11.5,24.8,19.1,13.4
6,2.59,0.65,1.19,1.0133,8.0,25.3,19.9,14.5
7,2.63,0.86,0.51,1.0124,8.2,22.4,18.7,15.0
7,1.96,0.69,0.0,1.0166,4.7,21.4,17.7,14.0
7,2.1,0.64,0.0,1.0193,5.4,21.5,17.0,12.5
5,2.56,0.62,0.0,1.0164,7.8,23.6,18.9,14.2
6,3.07,0.6,0.0,1.0137,10.7,26.0,20.0,14.0
5,3.51,0.49,0.0,1.0147,13.4,28.5,22.2,15.9
2,3.4,0.5,0.0,1.0183,12.7,30.4,23.4,16.4
6,2.92,0.53,0.04,1.0157,9.8,29.1,23.2,17.3
2,3.58,0.51,0.0,1.0117,13.8,27.3,22.1,16.9
5,2.8,0.52,0.0,1.0138,9.1,26.2,20.0,13.8
2,3.66,0.41,0.0,1.0205,14.3,27.2,21.4,15.6
1,3.61,0.4,0.0,1.0227,14.0,29.8,23.4,17.0
1,3.66,0.42,0.0,1.0214,14.3,30.4,24.5,18.6
0,3.65,0.38,0.0,1.0211,14.2,30.4,23.7,17.0
1,3.58,0.4,0.0,1.0192,13.8,33.4,25.7,18.0
3,3.32,0.34,0.0,1.0173,12.2,34.6,28.0,21.4
3,3.04,0.36,0.0,1.0135,11.4,35.6,29.3,23.0
2,3.4,0.32,0.0,1.0121,12.7,34.3,28.0,21.7
3,3.66,0.32,0.0,1.0127,14.3,31.6,25.8,20.0
4,3.61,0.39,0.0,1.0125,14.0,29.3,23.9,18.5
1,3.69,0.41,0.0,1.0151,14.5,26.0,20.7,15.4
1,3.69,0.35,0.0,1.0173,14.5,26.3,20.0,13.7
3,3.45,0.39,0.0,1.017,13.0,29.4,23.2,17.0
5,2.86,0.42,0.0,1.0144,9.5,31.2,25.0,18.8
4,2.89,0.4,0.0,1.01,9.7,30.8,24.4,18.0
5,3.03,0.43,0.0,1.0096,10.5,27.2,22.6,18.0
3,3.5,0.37,0.0,1.0099,13.4,26.8,20.9,15.0
4,3.41,0.37,0.0,1.0091,12.8,27.0,21.5,16.0
5,2.9,0.51,0.0,1.0137,9.8,23.8,19.2,14.6
3,3.53,0.35,0.0,1.0174,13.6,27.6,20.8,14.0
0,3.64,0.4,0.0,1.0156,14.3,30.4,22.2,14.0
4,3.56,0.4,0.0,1.0108,13.8,32.0,25.4,18.8
5,2.86,0.38,0.0,1.0079,9.6,29.2,23.6,18.0
0,3.65,0.31,0.0,1.0135,14.4,25.6,19.7,13.8
0,3.63,0.35,0.0,1.016,14.3,28.4,21.6,14.8
0,3.59,0.27,0.0,1.0139,14.1,32.0,24.6,17.2
3,2.99,0.3,0.0,1.0147,11.3,28.7,24.1,19.5
1,3.47,0.35,0.0,1.02,13.4,27.7,21.1,14.5
4,3.23,0.39,0.0,1.0173,11.9,31.0,24.5,18.0
4,3.35,0.33,0.0,1.0135,12.7,30.6,24.3,18.0
5,2.43,0.35,0.0,1.0126,7.3,27.5,23.0,18.5
2,3.46,0.34,0.0,1.0155,13.4,28.4,22.3,16.2
4,3.42,0.31,0.0,1.0149,13.2,32.0,24.5,17.0
1,3.53,0.34,0.0,1.0135,13.9,33.4,25.7,18.0
1,3.51,0.36,0.0,1.0128,13.8,33.2,26.4,19.6
2,3.47,0.44,0.0,1.0172,13.6,29.4,23.2,17.0
