BASEL_cloud_cover,BASEL_global_radiation,BASEL_humidity,BASEL_precipitation,BASEL_pressure,BASEL_sunshine,BASEL_temp_max,BASEL_temp_mean,BASEL_temp_min
7,1.31,0.85,2.5,1.018,1.6,19.2,14.7,13.2
5,1.92,0.65,0.15,1.018,4.8,21.0,13.4,10.2
6,1.84,0.69,0.1,1.018,4.4,23.0,15.6,8.9
6,1.99,0.65,0.04,1.018,5.4,21.3,15.9,12.7
5,2.17,0.67,0.0,1.018,6.7,23.7,16.1,11.7
5,1.98,0.69,0.71,1.018,5.5,23.9,17.7,10.0
7,1.58,0.73,2.8,1.018,3.1,26.4,18.1,15.3
7,1.78,0.64,0.0,1.018,4.3,20.1,14.7,13.2
6,2.27,0.58,0.0,1.018,7.8,23.9,17.5,11.0
3,2.67,0.62,0.0,1.018,11.1,26.6,18.2,13.8
1,2.86,0.63,0.0,1.018,13.0,31.0,21.2,12.2
5,2.58,0.62,0.0,1.018,10.6,31.2,22.6,14.7
4,2.53,0.64,0.0,1.018,10.3,31.3,23.0,16.8
0,2.61,0.7,0.01,1.018,11.1,31.8,22.3,16.3
4,2.6,0.7,0.0,1.018,11.2,29.9,21.5,14.3
6,1.83,0.79,0.86,1.018,5.2,28.3,21.3,15.6
7,1.04,0.92,0.93,1.018,1.0,21.5,17.4,15.6
6,2.15,0.78,0.09,1.018,7.8,23.7,17.7,13.7
6,1.76,0.75,0.06,1.018,5.0,20.1,14.4,12.3
8,0.81,0.84,0.02,1.018,0.3,18.2,13.9,12.2
5,2.09,0.8,0.0,1.018,7.9,22.4,14.8,10.0
5,1.76,0.77,0.0,1.018,5.3,23.1,15.6,10.4
2,2.44,0.71,1.99,1.018,11.5,26.2,18.2,10.6
7,1.09,0.92,0.91,1.018,1.3,20.7,14.0,11.5
8,0.59,0.85,0.0,1.018,0.0,16.1,11.9,10.2
8,0.82,0.81,0.0,1.018,0.4,16.0,12.2,7.7
8,0.58,0.83,0.79,1.018,0.0,17.1,13.7,9.9
6,0.68,0.95,0.08,1.018,0.1,14.4,11.5,10.4
4,2.03,0.8,0.0,1.018,8.5,19.9,12.2,8.0
0,2.31,0.78,0.0,1.018,11.5,22.2,12.9,5.8
0,2.3,0.8,0.0,1.018,11.6,24.7,13.9,7.4
0,2.29,0.75,0.0,1.018,11.7,25.4,15.0,7.9
7,1.54,0.85,0.11,1.018,4.7,23.4,15.7,9.6
7,1.42,0.89,0.0,1.018,3.9,23.0,15.2,13.7
8,0.84,0.9,0.46,1.018,0.7,18.7,15.2,12.0
